#,Name,Link
1,Ben Thanh Retreats Hotel,https://www.booking.com/hotel/vn/ben-thanh-retreats.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from=searchresults#hotelTmpl
2,Baoanh Hostel,https://www.booking.com/hotel/vn/baoanh-hostel.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from=searchresults#hotelTmpl
3,Maison Royale,https://www.booking.com/hotel/vn/maison-royale.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from=searchresults#hotelTmpl
4,The Art - G9 Homestay,https://www.booking.com/hotel/vn/g9-homes.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from=searchresults#hotelTmpl
5,The White House,https://www.booking.com/hotel/vn/the-white-guesthouse-ho-chi-minh.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
6,Vy Khanh Guesthouse,https://www.booking.com/hotel/vn/vy-khanh-guesthouse.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from=searchresults#hotelTmpl
7,Sherwood Suites,https://www.booking.com/hotel/vn/sherwood-suites.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
8,The Hammock Hotel Fine Arts Museum,https://www.booking.com/hotel/vn/hammock-hotel-fine-arts-museum.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from=searchresults#hotelTmpl
9,MAI HOUSE Saigon,https://www.booking.com/hotel/vn/mai-house-saigon.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from=searchresults#hotelTmpl
10,Coucou Homestead,https://www.booking.com/hotel/vn/coucou-homestead.vi.html?label=ho-chi-minh-city-5*3auhMEhRGSd7HA9DCi_wS349923294895%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-308534867725%3Alp9074054%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YUBh8MufZgNFlM8CT-9cdjM&sid=a2acaca5d119e33a81c289e7da1de9c8&aid=1610725&ucfs=1&arphpl=1&dest_id=-3730078&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=3d767200926b01a5&srepoch=1654359170&from=searchresults#hotelTmpl
